shotDistance,shotAngle,is_rebound,goal
61.1310068623,3.75172907053,0,0
59.6824932455,-8.67317404788,0,0
32.5576411922,-42.510447078,0,0
31.7647603485,-28.17859011,0,0
10.0,-53.1301023542,1,1
82.2192191644,18.4349488229,0,0
53.8144961883,48.0127875042,0,0
62.2976725087,-18.7257878453,0,0
25.2388589282,56.309932474,0,0
9.21954445729,77.4711922908,1,0
13.152946438,-8.74616226256,0,0
13.6014705087,36.0273733851,0,1
17.0,-28.0724869359,0,0
29.6816441593,-32.6192430712,0,0
51.8555686499,-39.5226312712,0,0
53.0377224247,44.2361015391,0,0
56.3205113613,-16.5043613818,0,0
41.3400532172,32.1522951413,0,0
9.05538513814,6.34019174591,0,0
39.4461658466,30.4655449195,0,0
44.418464629,-58.8150253413,0,0
60.605280298,37.6262336387,0,0
33.7342555869,11.9761324442,0,0
9.21954445729,-12.5288077092,0,0
64.5600495663,16.189206257,0,0
31.0161248385,1.84761026599,0,0
8.0622577483,29.7448812969,1,0
14.5602197786,-15.9453959009,0,0
46.0434577329,34.3803447238,0,0
28.2842712475,81.8698976458,0,0
28.7923600978,-69.6768631703,0,0
64.4980619864,29.7448812969,0,0
8.54400374532,-20.5560452196,0,1
25.0,36.8698976458,0,0
59.7745765355,-17.5255683737,0,0
35.0,53.1301023542,0,1
41.0365690574,43.0250659891,0,0
20.3960780544,-11.309932474,0,1
82.3650411279,-29.0546040991,0,0
12.8062484749,-38.6598082541,0,0
63.2850693292,31.4295656148,0,0
30.4138126515,62.5924245622,0,0
66.8879660328,-31.5513849483,0,0
22.0907220344,5.19442890773,0,0
46.0434577329,34.3803447238,0,0
15.2643375225,58.3924977538,0,0
11.7046999107,19.9831065219,0,0
20.6155281281,22.8336541779,0,0
54.8178802947,-14.7967622451,1,0
16.0312195419,86.423665625,0,0
65.2993108693,-27.3498757801,0,0
12.8062484749,-51.3401917459,1,0
8.0622577483,-60.2551187031,0,0
24.5967477525,-26.5650511771,0,0
27.8028775489,-37.6942404667,0,0
28.231188427,67.0678995624,0,0
45.2769256907,6.34019174591,0,0
46.0434577329,-34.3803447238,0,0
44.7772263545,-29.4274564032,0,0
50.219518118,54.7275785514,0,0
43.931765273,-11.8214883406,0,0
44.4072066223,35.8376529543,0,0
62.4819974073,39.8055710923,0,0
38.0788655293,29.9315118405,0,0
6.0827625303,80.537677792,0,0
44.5533388199,45.9093804492,0,0
27.4590604355,33.1113419604,0,0
51.2445119013,-17.0205256115,0,0
87.3670418407,5.25380275126,0,0
57.0701322935,11.1130405359,0,0
16.9705627485,-45.0,0,0
12.6491106407,71.5650511771,0,0
29.9666481275,-25.7099537808,0,0
60.3075451333,-40.2921477556,0,0
5.83095189485,-30.9637565321,1,1
18.3575597507,60.6422464572,0,0
62.2976725087,-18.7257878453,0,0
35.8468966579,-67.0112831979,0,0
5.38516480713,21.8014094864,1,1
40.8044115262,-36.0273733851,0,0
41.5932686862,62.8188889145,0,0
55.0817574157,-3.12213046212,0,0
37.6430604494,-39.61068824,0,0
24.8394846967,40.1009075462,0,0
37.0,71.0753555839,0,0
38.0131556175,54.6375381129,0,0
45.607017004,15.2551187031,0,0
63.1347764707,29.4071890607,0,0
10.0498756211,5.7105931375,0,0
6.32455532034,-71.5650511771,0,0
8.94427191,-26.5650511771,0,0
34.7131099154,41.4964683552,0,1
58.4208866759,-6.88172363064,0,0
27.5862284483,-43.5311992856,0,0
4.472135955,-63.4349488229,1,0
6.7082039325,-63.4349488229,1,0
27.0185121722,-38.9909940425,0,0
27.5862284483,43.5311992856,0,1
54.4058820349,-17.1027289691,0,0
28.319604517,-42.1375947739,0,0
16.4012194669,37.5685920288,0,1
12.2065556157,-55.0079798014,0,0
4.12310562562,-75.9637565321,0,0
71.0211236183,-32.3474434994,0,0
7.0,0.0,1,0
9.21954445729,-12.5288077092,1,0
45.607017004,-52.1250163489,0,0
52.0,-22.619864948,0,0
54.5893762558,8.42696902148,0,0
12.2065556157,34.9920201986,0,0
5.0,0.0,1,0
9.21954445729,49.398705355,0,0
8.0622577483,-82.8749836511,0,0
48.8773976394,-30.7627195342,0,0
42.4499705536,-15.0183606312,0,0
5.83095189485,-59.0362434679,0,1
12.3693168769,75.9637565321,0,0
8.0622577483,-29.7448812969,0,0
36.4965751818,-9.46232220803,0,0
27.0739727414,85.7636052009,0,0
37.6430604494,39.61068824,0,0
7.61577310586,-23.1985905136,1,1
40.8044115262,-36.0273733851,0,0
7.28010988928,15.9453959009,0,0
17.88854382,-26.5650511771,0,0
33.6005952328,36.528855367,0,0
75.1664818919,33.0558228116,0,0
5.09901951359,78.690067526,0,0
13.0384048104,4.398705355,0,0
10.295630141,29.0546040991,0,0
68.4105255059,-37.8749836511,0,0
7.61577310586,23.1985905136,1,0
96.2548700067,-23.902050411,0,0
37.1079506306,14.0362434679,0,1
10.0,-53.1301023542,0,0
54.2033209315,-29.8759926917,0,0
80.8949936646,-8.53076560995,0,0
7.21110255093,-56.309932474,0,0
2.82842712475,-45.0,1,0
4.12310562562,-75.9637565321,1,0
24.7588368063,-46.6365770416,0,0
24.8394846967,-40.1009075462,0,0
18.6010752377,53.7461622626,0,0
43.4165866922,-28.9264258353,0,0
7.81024967591,-39.8055710923,0,0
59.076221951,33.9590598197,0,0
12.8062484749,38.6598082541,1,0
22.6715680975,41.423665625,0,0
13.6014705087,53.9726266149,0,0
13.6014705087,-36.0273733851,0,0
27.2029410175,17.1027289691,0,0
74.0945342114,-31.7594800848,0,0
36.2491379208,24.4439547804,0,0
17.4642491966,-66.3706222693,1,0
28.319604517,-42.1375947739,0,0
13.416407865,63.4349488229,1,0
17.8044938148,38.1572265874,0,1
26.9258240357,68.1985905136,0,1
33.0151480384,54.8658069431,0,0
63.0634601017,27.3777027713,0,0
29.1204395571,-15.9453959009,0,0
61.2943716829,33.690067526,0,0
66.5732679084,32.7352262721,0,0
17.8044938148,-38.1572265874,0,0
25.0,36.8698976458,0,0
46.0977222865,-12.5288077092,0,1
67.9779375974,26.1881106975,0,0
54.3783044973,32.2287574351,0,0
46.0434577329,-55.6196552762,0,0
53.712196008,24.1791071467,0,0
63.5137780328,-33.4398692058,0,0
62.4339651152,31.9081069357,0,0
23.4093998214,70.0168934781,0,0
19.3132079158,21.2505055071,0,0
67.1192967782,-28.4742036101,0,0
66.0302960769,-35.1341930569,0,0
57.706152185,-8.9726266149,0,0
10.8166538264,-33.690067526,0,0
17.4642491966,13.2405199152,0,1
24.6981780705,-31.7594800848,0,0
38.8973006776,43.958373324,0,0
31.9061122671,32.1957339347,0,0
16.2788205961,-42.510447078,0,0
15.2970585408,11.309932474,0,0
10.8166538264,-56.309932474,0,0
37.4432904537,-55.8855270547,0,0
62.8171950982,-13.8150253413,0,0
10.1980390272,-11.309932474,0,0
43.5660418216,-9.24611274556,0,0
20.0,0.0,0,0
16.1245154966,-29.7448812969,0,0
24.4131112315,55.0079798014,0,0
27.7848879789,59.7435628365,0,0
70.7106781187,28.7397952917,0,0
47.5078940809,40.7321066997,0,0
61.6846820532,16.9661481085,0,0
30.8706980809,65.0952311919,0,0
16.2788205961,-10.6196552762,1,0
70.1783442381,-32.7842808659,0,0
48.4148737476,51.7098368078,1,0
38.4187454246,-38.6598082541,0,0
36.8917334914,-32.8285417914,0,0
13.0384048104,32.4711922908,0,1
37.1618083521,66.1940564815,0,0
31.064449134,-33.1785116594,0,0
22.1359436212,-18.4349488229,0,0
12.2065556157,-34.9920201986,0,1
48.8364617883,-42.510447078,0,0
18.0277563773,3.17983011986,0,0
31.4006369362,37.2348339816,0,0
38.0131556175,-35.3624618871,0,0
25.2982212813,18.4349488229,0,0
31.064449134,56.8214883406,0,0
56.3205113613,6.11550356629,0,0
12.1655250606,-9.46232220803,0,0
55.4436651025,39.1439864146,0,0
20.8086520467,-35.2175929682,1,0
44.6542271235,55.9540626434,0,0
20.591260282,-60.9453959009,0,0
31.7647603485,-28.17859011,0,0
51.4781507049,7.81529354677,0,0
72.6704891961,34.3460974001,0,0
13.6014705087,-36.0273733851,1,0
7.61577310586,-66.8014094864,0,0
30.8058436015,54.2461127456,0,0
40.7062648741,62.1759036157,0,0
11.0453610172,-5.19442890773,0,1
30.0166620396,-60.0183606312,0,0
47.7074417675,-56.9761324442,0,0
11.6619037897,-30.9637565321,0,0
5.0,-53.1301023542,0,0
49.040799341,-2.33730585912,1,0
43.1393092202,-45.9391909457,0,0
36.7967389859,42.7974018382,1,0
36.7967389859,-47.2025981618,0,0
19.6468827044,14.7435628365,0,0
30.4795013083,41.0090869016,0,0
39.6610640301,-33.690067526,0,0
22.1359436212,-71.5650511771,0,0
11.401754251,15.2551187031,0,0
68.2422156733,34.8544555661,0,0
8.24621125124,-75.9637565321,1,0
78.7146746166,-27.2161115573,0,0
61.2943716829,5.61758059013,0,0
18.973665961,-18.4349488229,0,0
37.5898922584,28.610459666,0,0
39.0512483795,2.93567344642,0,0
32.7566787083,-31.2637316944,0,0
39.6232255123,-47.0454084889,0,0
89.3196506935,21.6822916132,0,0
8.24621125124,-75.9637565321,0,1
30.083217913,15.4221613187,0,1
14.8660687473,-47.7263109939,0,0
42.7200187266,16.3138524263,1,0
58.7962583844,-41.5526131481,0,0
28.319604517,47.8624052261,0,0
31.384709653,22.4794343971,0,0
31.0161248385,-20.772254682,0,0
15.5241746963,-14.9314171781,0,0
23.3452350599,-80.1341930569,0,0
57.9396237475,21.2505055071,0,0
11.6619037897,-30.9637565321,0,0
59.3632883186,-32.6192430712,0,0
31.9061122671,-57.8042660653,0,0
22.803508502,15.2551187031,0,0
5.65685424949,-45.0,0,0
17.4642491966,66.3706222693,0,1
47.4236228055,-47.5637702115,0,0
69.9714227381,-30.9637565321,0,0
33.5410196625,10.3048464688,0,0
29.0688837075,49.1849161251,0,0
44.2944691807,-28.300755766,0,0
29.9666481275,25.7099537808,0,0
19.8494332413,-40.91438322,0,0
20.0249843945,2.86240522611,0,0
8.0622577483,-29.7448812969,0,0
8.54400374532,-20.5560452196,1,0
53.8516480713,-21.8014094864,0,0
28.1602556807,-83.8844964337,0,0
41.2310562562,-14.0362434679,0,0
9.21954445729,49.398705355,0,0
29.8328677804,50.440332031,0,0
14.4222051019,-56.309932474,0,0
10.0,-53.1301023542,0,0
18.1107702763,-6.34019174591,0,0
9.21954445729,-77.4711922908,0,0
65.5515064663,21.4767909795,0,0
61.2943716829,33.690067526,0,0
20.591260282,60.9453959009,0,0
21.0237960416,87.2736890061,0,0
7.07106781187,-81.8698976458,1,0
19.0262975904,86.9872124958,0,0
8.0,0.0,1,0
26.4196896272,-60.5241109968,0,0
30.4795013083,-48.9909130984,0,0
27.0185121722,-38.9909940425,0,0
41.5932686862,-27.1811110855,0,0
9.43398113206,-32.0053832081,0,0
32.8024389337,52.4314079712,0,0
54.2033209315,-37.5041423603,0,0
38.6393581727,-10.4374753511,0,0
30.8058436015,35.7538872544,0,0
75.953933407,-9.09027692082,0,0
25.8069758011,-35.537677792,0,0
11.0453610172,84.8055710923,0,0
90.7854613911,26.8472941133,0,0
35.6089876295,38.1572265874,0,0
33.2415402772,-43.7811247649,0,0
27.8567765544,-21.0375110254,0,0
33.8378486314,-34.1596945457,0,0
11.1803398875,-10.3048464688,0,0
43.6806593357,15.9453959009,0,0
16.5529453572,64.9831065219,0,0
15.8113883008,34.6951535312,0,0
13.0384048104,-57.5288077092,1,0
60.2992537267,5.7105931375,0,0
19.0262975904,3.01278750418,0,0
7.07106781187,8.13010235416,0,0
21.2132034356,-45.0,0,0
27.6586333719,-12.5288077092,0,0
39.1152144312,32.4711922908,0,0
27.2946881279,-61.5570713756,0,0
72.4016574396,32.5925814726,0,0
9.48683298051,71.5650511771,1,0
41.2310562562,-39.0938588862,0,0
59.4642749893,-19.6538240581,0,0
52.4785670536,30.9637565321,0,0
28.7923600978,-20.3231368297,0,0
93.5200513259,-24.6467708519,0,0
33.8378486314,18.9704078085,0,0
6.0827625303,-80.537677792,0,0
7.61577310586,66.8014094864,1,0
41.7731971484,42.0891621738,0,0
26.9072480941,-48.0127875042,0,0
20.1246117975,26.5650511771,0,0
5.0,0.0,0,0
66.8505796534,-34.6409475119,0,0
27.0739727414,4.23639479906,0,0
44.4072066223,54.1623470457,0,0
14.7648230602,28.300755766,0,0
56.8594759033,-23.8601751913,0,0
47.1699056603,57.9946167919,1,0
34.0,-28.0724869359,0,0
28.2842712475,8.13010235416,0,0
